Rdate,comment,condition,drug,easeofuse,effectiveness,helpful,reviewer,satisfaction
9/19/07 9:03,"The medication has helped me keep my 2 month sugarlevel between 5.0-6.2 mmol/L
(90- 105 mg/dl)",Type 2 Diabetes Mellitus,metformin oral,5,4,2,"bjorn, 65-74 Male  on Treatment for 2 to less than 5 years (Patient)",3
9/18/07 11:18,,Type 2 Diabetes Mellitus,metformin oral,5,4,9,"cutie54, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
4/24/11 8:59,I have just started to take this drug for a starters to if it will help me in anyway to help to control my diabetes.,Type 2 Diabetes Mellitus,Kombiglyze XR oral,5,4,3,"jarele, 25-34 Male  on Treatment for less than 1 month (Patient)",4
4/5/11 13:31,,Type 2 Diabetes Mellitus,Kombiglyze XR oral,5,4,4,25-34 Female  on Treatment for less than 1 month (Patient),4
3/7/11 16:35,,Type 2 Diabetes Mellitus,Kombiglyze XR oral,3,1,8,45-54 Male  (Patient),1
3/25/15 12:34,Doesn't work. Cough is intolerable. Dosing doesn't make sense ,Type 2 Diabetes Mellitus,Afrezza inhalation,1,1,0,"Brewman , 55-64 Male  on Treatment for 1 to 6 months (Patient)",1
3/25/15 12:19,,Type 2 Diabetes Mellitus,Afrezza inhalation,5,5,9,"tipe2, 35-44 Male  on Treatment for less than 1 month (Patient)",5
3/24/15 17:08,,Type 2 Diabetes Mellitus,Afrezza inhalation,1,1,1,55-64 Female  on Treatment for 1 to 6 months (Patient),1
9/27/07 11:30,Had been on glucophage for 2 years but had to stop due to diarrhea problems Then put on glumetza and have started to have bowel problems but not sure if it is the medicine or not.,Type 2 Diabetes Mellitus,Glumetza oral,5,3,1,"maureen, 65-74 Female  on Treatment for 6 months to less than 1 year (Patient)",3
10/21/07 10:23,,Type 2 Diabetes Mellitus,Actoplus MET oral,5,5,2,35-44 Male  on Treatment for 1 to less than 2 years,5
10/14/07 21:24,,Type 2 Diabetes Mellitus,Actoplus MET oral,5,5,6,"muzings, 45-54 Male  on Treatment for 6 months to less than 1 year (Patient)",5
10/14/07 20:59,,Type 2 Diabetes Mellitus,Actoplus MET oral,4,4,4,55-64 Female  on Treatment for 6 months to less than 1 year (Patient),4
6/2/14 23:57,"Farxiga is the first oral med to work for me.  As a side benefit, I am losing weight without even trying.   I have read the cautions and I don't fall into the groups that should not take this.
",Type 2 Diabetes Mellitus,Farxiga oral,5,5,3,"jumikja, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
5/7/14 15:05,,Type 2 Diabetes Mellitus,Farxiga oral,5,4,2,"Karmacomes knockin, 55-64 Female",4
9/27/07 13:59,i was terrified og giving my self injections until my doctor introduced levemir pen it works great,Type 2 Diabetes Mellitus,Levemir Flexpen subcutaneous,5,4,1,"mellaniehull516, 45-54 Female  on Treatment for 1 to 6 months (Patient)",5
9/21/07 10:48,love it,Type 2 Diabetes Mellitus,Avandia oral,3,3,4,,4
2/13/08 19:48,it has controled my sugar great and i do not have to take 4 to5 other pills a day.no side effects it's great and has less side effects to organs that the pills damage,Type 2 Diabetes Mellitus,Lantus Solostar subcutaneous,5,5,2,"cindy, 55-64 Female  on Treatment for 1 to 6 months (Patient)",5
10/8/07 21:19,My doctor wanted to put me on insulin.  I am taking this drug with januvia.  I am on the lowest dose and it works all day.  The only thing I dislike is my blood sugar drops very quickly in the evening and I have to be ready.  But it works like clockwork.  ,Type 2 Diabetes Mellitus,glyburide oral,5,5,2,35-44 Male  on Treatment for less than 1 month (Patient),5
11/17/09 4:06,I have experienced extreme itching and hives within 1-2 hours after taking this medicine,Type 2 Diabetes Mellitus,Onglyza oral,5,2,1,"jannieliz, 45-54 Female  on Treatment for less than 1 month (Patient)",1
10/16/07 16:33,works fast and for long periods of time,Type 2 Diabetes Mellitus,Lantus subcutaneous,5,4,6,,4
